iter	TotalF1	MultiClass
0	0.6694132777	1.557516375
1	0.7475755068	1.508245466
2	0.7724423075	1.458847387
3	0.7760600537	1.422432407
4	0.7912090553	1.381553691
5	0.7928016793	1.345152395
6	0.805248895	1.308973037
7	0.8280042553	1.273740705
8	0.845011456	1.244551591
9	0.8470356222	1.213742667
10	0.8556566474	1.187834103
11	0.8558485744	1.16413494
12	0.8642803408	1.135976599
13	0.8658400131	1.109851228
14	0.8789764182	1.084072599
15	0.882134758	1.063823882
16	0.8935890408	1.039613238
17	0.8915681323	1.017951311
18	0.893926924	1.001750664
19	0.9015493875	0.9828945837
20	0.9061876809	0.9678122827
21	0.912246278	0.9504161448
22	0.9182045746	0.9344188655
23	0.933518648	0.9166677733
24	0.9322138959	0.9021106774
25	0.9363050534	0.8854783336
26	0.9421223775	0.869594136
27	0.9490204294	0.8541713156
28	0.9470327263	0.8377828445
29	0.947752153	0.8224179176
30	0.9470527507	0.8093521574
31	0.9470327263	0.796540919
32	0.9495775164	0.7834212363
33	0.9483157299	0.7698166856
34	0.9495775164	0.760444601
35	0.9488639881	0.7483920786
36	0.9488639881	0.7366113048
37	0.9508788157	0.7268089212
38	0.9496247742	0.7160300361
39	0.953383646	0.7046483751
40	0.9495977349	0.6948373785
41	0.953383646	0.686356061
42	0.9521317494	0.6775422694
43	0.9528454377	0.6675790596
44	0.9553755318	0.6590523277
45	0.9598701812	0.6498536169
46	0.9573140419	0.6416358512
47	0.9591414629	0.6329095993
48	0.9591414629	0.6244796907
49	0.9603313187	0.6160842452
50	0.9578278034	0.6089836849
51	0.9659497819	0.6018676576
52	0.9709960319	0.594309321
53	0.9730290637	0.5861986927
54	0.9730290637	0.5789379798
55	0.9710440812	0.5719548016
56	0.9742755775	0.5656837955
57	0.9743371069	0.5590138846
58	0.9722902187	0.5536483691
59	0.9742755775	0.5469493301
60	0.9734920046	0.5403241096
61	0.9767675373	0.5340860167
62	0.9767675373	0.5283294925
63	0.9767675373	0.5228904652
64	0.9817132026	0.5167255388
65	0.9804042014	0.5126034801
66	0.9804042014	0.5080229337
67	0.9804042014	0.5026819094
68	0.9804042014	0.4974726843
69	0.9816319907	0.4929329073
70	0.9804042014	0.487907108
71	0.9816319907	0.4827390451
72	0.9804042014	0.478401057
73	0.9816319907	0.4736829042
74	0.9816319907	0.4686318614
75	0.9816319907	0.4642509266
76	0.9829411788	0.4594986366
77	0.9817132026	0.4551652205
78	0.9817132026	0.4509142528
79	0.9817132026	0.4463052148
80	0.9817132026	0.4420075222
81	0.9817132026	0.4387142334
82	0.9804042014	0.4345677496
83	0.9804042014	0.4303007727
84	0.9829411788	0.4262086208
85	0.9816319907	0.4223484575
86	0.9816319907	0.4184669455
87	0.9828736664	0.4145602265
88	0.9848600655	0.4106774622
89	0.9860839584	0.4065997962
90	0.9860839584	0.4028564582
91	0.9840972058	0.3991934343
92	0.9816319907	0.3951732408
93	0.9836181291	0.3914767457
94	0.9836181291	0.3880800024
95	0.9836181291	0.3850263335
96	0.9836181291	0.381899422
97	0.9849337744	0.3779169092
98	0.9849337744	0.3745477665
99	0.9849337744	0.3714025807
100	0.9849337744	0.3687392576
101	0.9861617194	0.3658148239
102	0.9849337744	0.362935339
103	0.9861617194	0.3594571588
104	0.9861617194	0.3559982729
105	0.9861617194	0.3534308178
106	0.9849337744	0.3501568379
107	0.9849337744	0.3478159142
108	0.9861617194	0.3448009529
109	0.9861617194	0.3419923199
110	0.9861617194	0.3392366304
111	0.9861617194	0.3361988935
112	0.9861617194	0.3338745824
113	0.9849337744	0.3309881609
114	0.9849337744	0.3286481019
115	0.9849337744	0.3259582661
116	0.9823759691	0.3230431984
117	0.9823759691	0.3203239175
118	0.9836913536	0.3179132604
119	0.9823759691	0.3158988053
120	0.9823759691	0.3133053541
121	0.9836076926	0.3106839092
122	0.9836076926	0.3083994913
123	0.984923246	0.3063898638
124	0.9836076926	0.3046667485
125	0.9836076926	0.3027266711
126	0.984923246	0.300254676
127	0.984923246	0.2980742199
128	0.9861617194	0.2958340553
129	0.9861617194	0.2936410126
130	0.9861617194	0.2918107016
131	0.9861617194	0.2896045316
132	0.9861617194	0.2877315678
133	0.9861617194	0.285588517
134	0.9873893064	0.2835830939
135	0.9873893064	0.2812772907
136	0.9886236913	0.2796177763
137	0.9898471483	0.2775862116
138	0.9886166033	0.2759219218
139	0.9886166033	0.2740200306
140	0.9873893064	0.2719881243
141	0.9886166033	0.2700428006
142	0.9886236913	0.2684404045
143	0.9887050072	0.2665850082
144	0.9873893064	0.2647810899
145	0.9887050072	0.2630947274
146	0.9887050072	0.2611876713
147	0.9887050072	0.2597475219
148	0.9887050072	0.2581660011
149	0.9899395733	0.2564132598
150	0.9899395733	0.2548727991
151	0.9899395733	0.253135457
152	0.9899395733	0.2514121071
153	0.9899395733	0.2498460703
154	0.9887050072	0.2482687048
155	0.9887050072	0.2466029639
