iter	Passed	Remaining
0	142	142135
1	144	72154
2	146	48810
3	148	36949
4	150	29897
5	152	25201
6	153	21825
7	155	19303
8	157	17384
9	160	15889
10	163	14669
11	165	13616
12	167	12722
13	171	12092
14	174	11435
15	177	10886
16	179	10378
17	181	9924
18	184	9532
19	188	9213
20	190	8881
21	193	8597
22	210	8955
23	213	8676
24	216	8447
25	218	8203
26	222	8000
27	224	7789
28	226	7599
29	230	7437
30	233	7301
31	236	7147
32	238	6999
33	244	6948
34	247	6823
35	250	6711
36	253	6606
37	256	6485
38	259	6385
39	263	6318
40	266	6224
41	268	6134
42	271	6038
43	273	5941
44	275	5851
45	278	5766
46	280	5696
47	283	5617
48	285	5544
49	288	5475
50	290	5410
51	293	5346
52	295	5287
53	298	5236
54	301	5180
55	303	5123
56	306	5072
57	309	5019
58	312	4983
59	314	4933
60	317	4887
61	320	4844
62	322	4798
63	325	4756
64	328	4718
65	330	4679
66	333	4640
67	335	4599
68	338	4566
69	341	4532
70	343	4496
71	346	4464
72	348	4430
73	351	4399
74	354	4368
75	357	4344
76	359	4314
77	362	4281
78	364	4251
79	366	4219
80	369	4189
81	371	4160
82	373	4131
83	376	4101
84	378	4072
85	380	4044
86	382	4015
87	384	3989
88	387	3971
89	390	3945
90	392	3923
91	395	3903
92	398	3885
93	401	3865
94	403	3842
95	406	3831
96	409	3814
97	414	3810
98	416	3793
99	420	3781
100	422	3764
101	430	3789
102	433	3774
103	435	3753
104	438	3739
105	441	3720
106	443	3700
107	445	3682
108	449	3670
109	451	3651
110	453	3635
111	456	3618
112	458	3600
113	460	3582
114	463	3570
115	466	3558
116	470	3548
117	472	3531
118	474	3516
119	477	3505
120	480	3491
121	482	3475
122	499	3558
123	501	3544
124	505	3541
125	508	3526
126	511	3514
127	517	3522
128	519	3508
129	522	3493
130	524	3481
131	527	3469
132	530	3456
133	532	3442
134	535	3428
135	537	3415
136	541	3408
137	544	3398
138	546	3386
139	549	3373
140	551	3360
141	554	3349
142	557	3338
143	559	3324
144	562	3317
145	565	3305
146	567	3295
147	571	3289
148	574	3282
149	578	3277
150	581	3271
151	584	3262
152	589	3263
153	592	3253
154	595	3248
155	599	3244
156	603	3239
157	605	3229
158	608	3218
159	610	3206
160	613	3195
161	615	3183
162	618	3178
163	620	3165
164	623	3153
165	625	3141
166	627	3131
167	629	3118
168	632	3111
169	635	3100
170	637	3092
171	640	3084
172	642	3073
173	645	3063
174	648	3055
175	650	3045
176	652	3034
177	655	3028
178	659	3024
179	662	3019
180	665	3010
181	667	2999
182	669	2988
183	671	2977
184	673	2967
185	676	2959
186	680	2957
187	682	2949
188	685	2943
189	687	2933
190	690	2922
191	692	2912
192	694	2903
193	696	2894
194	699	2885
195	701	2876
196	703	2867
197	705	2857
198	707	2847
199	709	2839
200	712	2830
201	714	2820
202	716	2813
203	718	2805
204	721	2796
205	723	2788
206	725	2779
207	727	2769
208	729	2762
209	732	2754
210	734	2744
211	735	2735
212	739	2730
213	741	2722
214	743	2713
215	745	2704
216	747	2696
217	749	2689
218	751	2680
219	753	2672
220	755	2664
221	758	2656
222	760	2649
223	762	2641
224	764	2633
225	767	2628
226	769	2619
227	771	2611
228	773	2603
229	775	2596
230	777	2588
231	780	2583
232	783	2578
233	785	2571
234	787	2563
235	789	2555
236	791	2547
237	793	2540
238	795	2532
239	797	2525
240	799	2518
241	801	2509
242	803	2501
243	804	2493
244	806	2485
245	808	2478
246	810	2470
247	812	2463
248	814	2456
249	816	2449
250	818	2441
251	819	2433
252	821	2426
253	823	2420
254	826	2414
255	828	2406
256	830	2400
257	832	2393
258	840	2404
259	842	2398
260	844	2391
261	846	2385
262	849	2381
263	852	2377
264	855	2372
265	857	2366
266	859	2359
267	861	2353
